"Id","Date","UserId","WorkstationId","StartTime","EndTime","Observation","IsDeleted","IdUpdate","DateUpdate","DateCreated","Notified","Token"
bffe5f76-8cb6-499e-a003-d90916cc613a,2026-02-09,"05e7f592-9604-4c70-b832-499340d2fb32",,,,ABS,false,,,2026-03-08 19:20:15.496 -0500,false,"2026-02-09|ai|b7909c70"
"2afb0bdb-0a31-48d9-966a-98ebe8639fe0",2026-02-09,d08f0889-5284-4a28-ad99-babff24882a5,,,,ABS,false,,,2026-03-08 19:20:15.671 -0500,false,"2026-02-09|ai|b7909c70"
d41c706e-b7ce-4822-a98b-eb1490ac8284,2026-02-09,"2246e6c4-e5df-461b-adc4-2aa7bfcad207",b6da0392-4aa8-4bb8-b1d4-d5b2bd9985f6,"10:30:00","20:30:00",BT,false,,,2026-03-08 19:20:15.843 -0500,false,"2026-02-09|ai|b7909c70"
"134f46a6-5d83-476b-85e0-db53c7d30a9e",2026-02-09,f74e2632-1654-4419-a5d1-4e6f5bc75fc1,db28d092-6ab7-4dd0-a55c-670ce2e5af98,"14:00:00","23:30:00",C,false,,,2026-03-08 19:20:16.014 -0500,false,"2026-02-09|ai|b7909c70"
f5403f94-5fcd-4fdd-bea7-15dd06adeff6,2026-02-09,"3abbeaa6-d6a4-43c3-bb1c-0b57ae6b1bf2",db28d092-6ab7-4dd0-a55c-670ce2e5af98,"13:00:00","17:00:00",BT,false,,,2026-03-08 19:20:16.187 -0500,false,"2026-02-09|ai|b7909c70"
"2ec91805-a5e1-4254-a887-7c6095005a2e",2026-02-09,"3abbeaa6-d6a4-43c3-bb1c-0b57ae6b1bf2",db28d092-6ab7-4dd0-a55c-670ce2e5af98,"20:00:00","23:00:00",BT,false,,,2026-03-08 19:20:16.359 -0500,false,"2026-02-09|ai|b7909c70"
"2ab82e72-21e6-4b24-8f54-bc3602e44e0b",2026-02-09,d4263691-fd86-4106-ae36-bdfecf4f4e69,c4fcf133-e25f-4e19-80cb-b388c73f4555,"11:00:00","21:00:00",BT,false,,,2026-03-08 19:20:16.530 -0500,false,"2026-02-09|ai|b7909c70"
fda9f430-1d51-4e22-ad02-6a31d54bcb20,2026-02-09,"936f48d1-0213-46ea-a9b0-45ac180989fa","6a19bfd7-2a96-4a47-a726-8ae6459fec02","12:00:00","22:00:00",BT,false,,,2026-03-08 19:20:16.702 -0500,false,"2026-02-09|ai|b7909c70"
ba507ca3-fd91-4547-ad17-d567841501e9,2026-02-09,c47607eb-f74d-4495-9049-7fd8592eeede,"383c706e-d819-499a-a528-a24fb3d198e8","12:00:00","16:00:00",BT,false,,,2026-03-08 19:20:16.874 -0500,false,"2026-02-09|ai|b7909c70"
"853eeec8-0c78-4128-95b9-53370abdc71d",2026-02-09,c47607eb-f74d-4495-9049-7fd8592eeede,"383c706e-d819-499a-a528-a24fb3d198e8","20:00:00","23:30:00",C,false,,,2026-03-08 19:20:17.045 -0500,false,"2026-02-09|ai|b7909c70"
"24395c47-9247-4353-a310-8051ef3e7bff",2026-02-09,"99fc5460-5e2f-46bc-9b30-1de3b467cfae","6340cf89-ae26-4bcd-ba6f-7a2383a66875","16:00:00","23:59:00",C,false,,,2026-03-08 19:20:17.217 -0500,false,"2026-02-09|ai|b7909c70"
"0e021eab-9a51-439d-9979-a2105b3a2d26",2026-02-09,"516f3736-2b9a-4b7e-a960-d06682a07c8e",bc666a0d-186b-4664-ab99-eb9f32dfedc5,"10:00:00","13:00:00",C,false,,,2026-03-08 19:20:17.402 -0500,false,"2026-02-09|ai|b7909c70"
de819c75-4684-4fe9-9ead-120e7a21b884,2026-02-09,"4417c134-0863-4506-9783-21824854d748","384140d9-46c8-48e1-bc72-9d702c3f0572","11:00:00","21:00:00",BT,false,,,2026-03-08 19:20:17.573 -0500,false,"2026-02-09|ai|b7909c70"
"6a4ff127-03f8-44eb-b50f-b35acaa71669",2026-02-09,b97f1fe2-6e8d-4471-af52-f0fb4d5bc24d,"86c7725c-d178-4ad7-baba-d24943fd7e25","12:00:00","22:00:00",BT,false,,,2026-03-08 19:20:17.745 -0500,false,"2026-02-09|ai|b7909c70"
"27bc492a-cfae-4583-9fc9-0bc491e86757",2026-02-09,"4f273de7-7bb0-4f6f-845b-75e20de0efb6",d5ef224c-056f-486e-bda1-e9eae70b0aae,"13:00:00","16:00:00",BT,false,,,2026-03-08 19:20:17.917 -0500,false,"2026-02-09|ai|b7909c70"
"34900381-d7b2-4f85-9c70-ed4f35cfa3ad",2026-02-09,"4f273de7-7bb0-4f6f-845b-75e20de0efb6",d5ef224c-056f-486e-bda1-e9eae70b0aae,"20:00:00","23:59:00",C,false,,,2026-03-08 19:20:18.088 -0500,false,"2026-02-09|ai|b7909c70"
"1144f322-1a22-4926-ab6c-bfdb86c0aea1",2026-02-09,"2e1c161c-c3ef-4e9a-80d0-b2a286120178","18a09199-1887-4100-8f7f-033afad49d6d","10:30:00","11:00:00",C,false,,,2026-03-08 19:20:18.287 -0500,false,"2026-02-09|ai|b7909c70"
"9559d8ca-573d-44be-8cd6-ee1dc5ccf91e",2026-02-09,"2e1c161c-c3ef-4e9a-80d0-b2a286120178","6340cf89-ae26-4bcd-ba6f-7a2383a66875","11:00:00","16:00:00",BT,false,,,2026-03-08 19:20:18.459 -0500,false,"2026-02-09|ai|b7909c70"
cd672e0d-9e76-4778-bd36-7ae533458d06,2026-02-09,a66de94d-12d6-41d6-995f-680adb2f258b,"32944c91-5905-4a99-8c7b-484d84217f7f","12:30:00","22:30:00",BT,false,,,2026-03-08 19:20:18.630 -0500,false,"2026-02-09|ai|b7909c70"
b393e8c0-ce04-4b28-b2fa-8f68754c40e8,2026-02-09,cfb790cc-fd37-4c51-a81b-65caa1859020,"6340cf89-ae26-4bcd-ba6f-7a2383a66875","19:00:00","23:00:00",BT,false,,,2026-03-08 19:20:18.802 -0500,false,"2026-02-09|ai|b7909c70"
"17b10946-468e-4e57-9fe0-7edfb12138ab",2026-02-10,"05e7f592-9604-4c70-b832-499340d2fb32",,,,ABS,false,,,2026-03-08 19:20:18.974 -0500,false,"2026-02-09|ai|b7909c70"
b7a316a5-a6b9-4610-9d2f-d8f439992cd4,2026-02-10,d08f0889-5284-4a28-ad99-babff24882a5,,,,ABS,false,,,2026-03-08 19:20:19.145 -0500,false,"2026-02-09|ai|b7909c70"
aca2ff9a-b404-47a2-b47c-f53549fdce10,2026-02-10,"4417c134-0863-4506-9783-21824854d748",b6da0392-4aa8-4bb8-b1d4-d5b2bd9985f6,"10:30:00","20:30:00",BT,false,,,2026-03-08 19:20:19.316 -0500,false,"2026-02-09|ai|b7909c70"
e16a9d18-5144-4040-ae41-a6e7625ba14c,2026-02-10,"62bb4f0e-a08a-4ada-bd69-b9d86f672ebd",db28d092-6ab7-4dd0-a55c-670ce2e5af98,"14:00:00","17:00:00",BT,false,,,2026-03-08 19:20:19.487 -0500,false,"2026-02-09|ai|b7909c70"
aa55e8c7-b514-49be-a359-f9758c1403d9,2026-02-10,"62bb4f0e-a08a-4ada-bd69-b9d86f672ebd",db28d092-6ab7-4dd0-a55c-670ce2e5af98,"20:00:00","23:00:00",BT,false,,,2026-03-08 19:20:19.659 -0500,false,"2026-02-09|ai|b7909c70"
"16de8667-1803-4f0c-ba44-c857a34191fd",2026-02-10,"2e1c161c-c3ef-4e9a-80d0-b2a286120178",bc666a0d-186b-4664-ab99-eb9f32dfedc5,"10:00:00","13:00:00",C,false,,,2026-03-08 19:20:19.831 -0500,false,"2026-02-09|ai|b7909c70"
"6f48c0a7-ceec-44de-b20e-babd55a45f00",2026-02-10,"25154f46-7f5d-4d7d-b3b8-0127ba622a9c","384140d9-46c8-48e1-bc72-9d702c3f0572","11:00:00","21:00:00",BT,false,,,2026-03-08 19:20:20.002 -0500,false,"2026-02-09|ai|b7909c70"
"7968be28-6bd8-4a23-b532-90ea72ae33d2",2026-02-10,d4263691-fd86-4106-ae36-bdfecf4f4e69,c4fcf133-e25f-4e19-80cb-b388c73f4555,"11:00:00","21:00:00",BT,false,,,2026-03-08 19:20:20.173 -0500,false,"2026-02-09|ai|b7909c70"
